gene	TSP14__capillary endothelial cell	TSP14__CD4-positive, alpha-beta T cell	TSP14__CD8-positive, alpha-beta T cell	TSP14__endothelial cell	TSP14__endothelial cell of artery	TSP14__fibroblast	TSP14__macrophage	TSP14__mast cell	TSP14__natural killer cell	TSP14__neutrophil	TSP14__pericyte	TSP14__smooth muscle cell	TSP14__vein endothelial cell
BCO2	0	0	0	0	0	13.0384803606873	51.3947701832095	0	130.110281936012	0	0.0240445360474738	0	0
BCOR	0	59.369610436809	192.16319595002	28.5720636275296	0	26.3630377614919	0.061506028045505	176.140674178081	0	0	173.695587113713	9.44198528309487	0
BCORL1	0	48.2291769697637	0	0	131.832054028184	5.53721862749519	12.8148708120014	0	11.0226749333289	0	3.74734329380223	3.43519011611303	0
BCORP1	0	60.8507426556411	0	0.134286148106025	0	0.00904060561606351	0	0	0	0	0	0	0
BCR	25.0497010890729	82.1033435484172	135.852284240909	222.601618818626	232.704249177418	48.3199059552612	0	0	0	0	40.4364844559551	78.8024646379521	325.200374155375
BCRP2	0	0	13.8300239309035	3.72019134582637	0	0.0294010646170206	0	0	0	0	1.22903986608033	0	0
BCRP3	0.533271818483048	0	0	0	0	0.089948791576063	0	0	0	0	0.409627793840192	0.172723879634654	0
BCS1L	111.849861862069	81.7189241404813	101.496921783709	78.9621295143809	0	64.8121028407517	0	256.179364774005	0	0	69.0624207268053	15.6160479371741	0
BDH1	0	83.2894524966298	40.3726726663893	0	0	0	0	214.271947637394	1.21138791926241	0	0.262619505394997	0	0
BDH2	0	25.4486020552989	0	88.5390021710519	277.527053222918	233.860064639681	0	0	0	0	108.92489554363	166.782070344393	0
BDKRB1	0	0	0	0	0	18.4508552748847	0	130.193848372928	0	77.4923316403823	0	0	0
BDKRB2	0	0	0	15.9058734565963	0	20.435698023218	0	22.5863073826323	0	0	0	0	0
BDP1	0	320.369507969941	181.92080098728	126.992280741493	14.4098631471288	120.097797454021	429.750217575914	251.224783320492	2.49688168601134	0	42.1355368915522	86.800638355046	0.738404083597121
BEAN1	0	0	0	0	0	0	6.72331429125214	0	39.841370038756	0	0.0240445360474738	0	0
BECN1	0	136.92954123277	79.8827298920574	145.693876334169	228.425978288636	128.818052411587	76.7613309939531	0	255.564547452499	0	86.973988691846	205.478256891707	0
BEGAIN	0	0	0	0	0	1.17068577593004	0	0	0	0	1.20064192486717	0	0
BEND5	0	0	0	57.9579626233544	0	0	0	0	0	0	0	0	0
BEND7	0	0	0	9.84994056358197	0	7.55684185038278	0	0	0	0	0	4.10797819355856	0
BEST1	0	51.7368178174655	0	0	0	10.6116370174961	15.8957300301385	26.4111806147394	0	2864.24990250819	63.2425042482072	0	0
BEST3	0	0.249252403613552	0.321139810867206	0.0284748627926928	0	0.0236058583590808	0.0942025746121614	0	0	0	0	0	0
BET1	9.36462375098323	87.695491185663	0	184.580740305364	317.226712097032	128.477693872597	43.4826987845553	339.07992466382	240.445402979579	0	69.6640271486232	25.0383388349003	0
BET1L	47.0046969074373	2.09946264150959	48.1120924511502	66.7864950240231	0	47.8551784589111	58.6968694878409	0.853171966063704	0	0	32.9792305540291	40.8994959104327	49.5267577847471
BEX2	0	17.5352614930418	0	0	0	0.0117292951690735	0	66.1845765798738	0	0	0.113199728609951	0	24.4829766006798
BEX4	0	51.5522443517366	59.8930074532298	65.1620937418291	0	84.0173361944852	102.599182167843	456.909019927675	376.032832713403	0	200.934436116324	0	0
BEX5	172.267815663022	29.7070024592174	0	34.4753541087145	0	8.78666851130142	0	0	0	0	2.80353636601815	60.098647851559	0
BFAR	0	0	0	84.556558439074	0	52.258952104334	53.6060756506666	0	0	0	46.0436374334622	40.5855403482218	1.48238608384205
BFSP1	0	0	0	41.1826208748405	0	0	0	0	0	0	0.709823625484638	49.2662272628089	0
BGLAP	0	0	0	0	0	0.0338154366466493	0.257272378155924	0.678693969692252	0	0	0	0	0
BGN	0	0	0	38.422521595948	61.3621276811205	433.783740254131	0	0	0	0	814.258505431092	1296.64257556294	0
BHLHE40	193.918056596975	300.949714141864	28.9418546810077	193.453686122039	409.870478527416	170.353825991854	122.341489378616	115.073177037833	9.45919419112285	0	179.067688734666	77.3675033381034	0
BHLHE41	0	0	0	0	0	65.65842745953	9.7908700135988	0	0	0	0	0	24.4829766006798
BHMT	0	0	0	0	0	1.52224952460514	0	0	0	0	0	0	0
BHMT2	0	0	0	24.8268555582371	0	125.837075405477	0.033966589636169	0	0	0	0.214161139165816	17.7933583718811	0
BICC1	0	0	0	0	0	385.584922415591	0	0	0	0	60.8565507005991	31.2048177264319	0
BICD1	0	13.3684270355979	0	40.5117931571519	0	10.8887203576481	0	96.243251672648	0	0	1.86738634086409	13.6690071859408	0
BICD2	0	11.5416898490498	28.567706583798	22.1874846166967	0	70.6584064506969	68.1890511770665	0	0	756.398766953164	98.4219536679033	114.649231702154	65.9841226612759
BID	162.503118861604	161.470492560988	74.8188367489285	274.841216979736	230.757130615437	38.1415192703649	90.6622419010847	226.413211452745	0	1400.99710508303	13.6257045047786	0	0
BIN1	0	201.41042117245	198.577905147607	0	0	165.344485392712	131.898416216616	0	0	0	38.8650323348469	0	0
BIN2	0	272.594631300486	277.636042779554	0	0	0	44.83355618321	243.047781485952	174.093705640489	0	0	0	0
BIN3	179.794499550318	50.5930529277867	0	100.624948769563	0	72.8247231658068	34.8471327956458	89.8361882201849	0	0	17.4478516601935	0	12.8929616476748
BIRC2	0	108.592727625754	37.3314141031964	122.347021599244	0	60.1319679794628	126.278000194332	241.403198693162	4.48384330491393	0	42.1500941976605	1.97103311068161	0
BIRC3	0	831.736089000465	488.449466941603	68.2108191535412	0	9.38068874813158	234.827898138935	469.56005361577	782.947509793358	499.731480878005	3.80767704702824	16.6209524247022	83.5437537671226
BIRC5	0	0	0	3.3324183799857	0	0	0.0758571741294482	0	0	0	0.0412236655401115	0	0
BIRC6	404.24147126514	211.42226742519	175.164397328399	130.473142406375	0	121.089355004289	174.987239563356	148.27459095947	662.928579863395	0	85.7734935890884	245.951922754861	405.113018675684
BIVM	0	0	71.1515861055463	3.57775462979348	0	29.3854075631935	84.7817361247737	0	0	0	46.6511345327097	27.2590740668916	0
BLCAP	0	51.9892489449334	101.59192298422	208.53003496966	170.011073942301	137.101694373067	41.2537998446231	1.08255801210178	0	0	89.4240890076417	116.7137037866	0
BLM	0	0	0	0.0531408333946636	0	0	63.6223357339103	0.122444514254045	0	0	0.11314870615937	0.306656635815253	0
BLMH	0	39.4242404056994	0	138.723349284959	0	39.2092838287823	48.1589753275768	21.678302762793	0	0	49.1607085258265	11.4045063705548	32.69699616839
BLNK	0	0.131287422797487	0	0	0	0	40.2348742829248	0	0	0	0	0	0
BLOC1S1	118.211626551684	72.6045150530516	59.9683699647104	108.160530993664	166.447644850841	97.8593889661246	77.3099895999826	38.8361059939516	0	2293.76411673303	91.1097530579383	91.8375155607803	0
BLOC1S2	0	63.2908187725543	171.584596595361	265.339440185974	297.712406896607	93.484313586685	130.125719792632	0	354.352193637908	0	24.9851403443471	42.6553581968779	311.061751438812
BLOC1S3	0	60.5177467935051	84.5175853554592	46.0827290335529	0	38.1765026315121	104.694905501466	57.4443999788973	0	0	88.7359247070159	85.2506714070008	0
BLOC1S4	0	17.6794001460464	0	0	0	7.64414643416127	0	0	0	0	11.9583780174888	0	214.244624920692
BLOC1S5	0	0	23.0149204645387	56.3157530918193	61.4298052103769	22.2239086148175	0	0	0	0	30.1542682938094	35.2751772024836	0
BLOC1S6	0	66.7733512964268	90.5362292135206	65.3408919367002	0	97.7329612044521	228.85570643275	36.5014761975677	184.226869857825	0	121.833552091694	83.2708826364603	334.345586433896
BLVRA	560.644310413619	45.5467154761606	355.1285617621	87.6005278371386	0	140.81429733492	297.926592250225	279.575106569516	142.868043994377	0	158.786956671963	260.615745633552	0
BLVRB	288.512345562394	34.6107841941509	0	92.4610427700283	218.013947057888	276.512804316644	561.510912958729	120.443745399386	0	0	211.325723430634	275.410382058241	214.116073726792
BLZF1	0	0	3.78974771106618	31.5312333451438	0	36.9602731719373	26.6387164112744	0	0	0	84.3208460068948	170.033856496761	140.339740102789
BMF	0	0	0	29.3063481870724	0	6.71949062325724	48.0687820339023	0	0	0	0	0	0
BMI1	0	0	0.816380388118935	48.8394495804916	0	52.8187694743237	1.66999744355955	120.653425340441	306.405425688842	0	22.8807123000176	67.4427029750647	0
BMP1	0	0	0	29.02975131005	95.6597115967685	88.0341131957622	0	0	0	0	69.6615032459234	53.1858270326811	0
BMP2	0	0	0	4.66751213425122	0	1.07673362636498	20.2910367420658	0	0	0	19.0835065209998	5.58765953222939	0.371623424052406
